username,date,text,replies,reposts,likes,bookmarks,views
theapplehub,2025-04-01T01:47:22.000Z,"iOS 19 will reportedly support these iPhone models 

The iPhone XS, iPhone XS Max and iPhone XR will not be supported",470,2730,18329,1165,1321580
EckoTheFox,2025-04-01T03:33:48.000Z,My XS Max looking at me like:,5,12,866,10,34312
DavidPattt,2025-04-01T11:20:17.000Z,iPhone 11 users watch your back,33,10,503,4,33807
tslecomte,2025-04-01T02:03:28.000Z,"You do have to give it to Apple, their commitment to keeping the updates for as many iPhone as possible is on point. 

For the most part, they all tend to work well. ",0,0,259,2,24289
TheRealCEOAmber,2025-04-01T16:55:19.000Z,No hope . My iPhone XR,9,2,49,0,10893
JinMetaX,2025-04-01T01:48:07.000Z,what about my Solana phone,0,0,14,0,11801
mbahareth,2025-04-02T04:34:21.000Z,I will not upgrade to it because it harms me,0,0,0,0,1117
OpemiDmh,2025-04-01T20:01:46.000Z,"iPhone XS, XS max and XR users right now",2,0,166,0,3614
kpgamingz,2025-04-01T01:51:28.000Z,"I mean it’s for the good for the XR?

3 GB RAM and A12 isn’t sustainable enough in 2025 + battery isn’t good.",4,0,165,4,33253
itwinasilele_,2025-04-01T06:12:53.000Z,One more year on my 11,3,0,156,4,5631
theapplehub,2025-04-01T01:47:22.000Z,"iOS 19 will reportedly support these iPhone models 

The iPhone XS, iPhone XS Max and iPhone XR will not be supported",470,2730,18329,1165,1321580
EckoTheFox,2025-04-01T03:33:48.000Z,My XS Max looking at me like:,5,12,866,10,34312
DavidPattt,2025-04-01T11:20:17.000Z,iPhone 11 users watch your back,33,10,503,4,33807
tslecomte,2025-04-01T02:03:28.000Z,"You do have to give it to Apple, their commitment to keeping the updates for as many iPhone as possible is on point. 

For the most part, they all tend to work well. ",0,0,259,2,24289
TheRealCEOAmber,2025-04-01T16:55:19.000Z,No hope . My iPhone XR,9,2,49,0,10893
JinMetaX,2025-04-01T01:48:07.000Z,what about my Solana phone,0,0,14,0,11801
mbahareth,2025-04-02T04:34:21.000Z,I will not upgrade to it because it harms me,0,0,0,0,1117
OpemiDmh,2025-04-01T20:01:46.000Z,"iPhone XS, XS max and XR users right now",2,0,166,0,3614
kpgamingz,2025-04-01T01:51:28.000Z,"I mean it’s for the good for the XR?

3 GB RAM and A12 isn’t sustainable enough in 2025 + battery isn’t good.",4,0,165,4,33253
itwinasilele_,2025-04-01T06:12:53.000Z,One more year on my 11,3,0,156,4,5631
LatinLegacy,2025-04-01T14:04:19.000Z,It was a good run iPhone X users. iPhone 11 users are up next.,3,0,109,9,9700
spiderfaced,2025-04-01T01:54:20.000Z,"The last 'S' model. RIP 

Great phone.",0,0,107,2,7042
folkikilore,2025-04-01T01:50:51.000Z,IS MY 16 PRO MAX SAFE,9,0,87,2,33865
pkredits,2025-04-01T03:32:45.000Z,Don't think the batteries could've handled the update anyways good call imo,0,0,83,3,9622
yourtechguy100,2025-04-01T02:53:11.000Z,Don’t tell me it’s the discontinued of A12 chips so even 2020 iPad Pro is unsupported for iPadOS 19,9,3,69,0,32539
kaeprehgih,2025-04-01T12:22:14.000Z,Gotta respect Apple for how long they provide updates to older models,2,0,33,0,5495
dimov_vladyslav,2025-04-01T05:13:26.000Z,That's still quite a large list of devices. The iPhone 11 came out in 2019.,2,0,21,0,23159
singhalrishi27,2025-04-01T02:54:08.000Z,source?,4,0,22,0,33109
abasisgenius,2025-04-01T07:53:35.000Z,I’m pretty sure it was initially rumoured to support every iOS 18 compatible device. It’s a redesign update and probably every iOS 18 iPhone would be supported.,3,0,14,0,9559
Gazby77,2025-04-01T09:07:13.000Z,"I'll be surprised if the 11's get another year, they're already 6 years old.",2,0,8,0,20868
ty_uchiha_,2025-04-01T14:31:49.000Z,"All my iPhone 12 users, we’re getting closer to the day",0,0,8,0,3238
Mauricio9952,2025-04-01T02:23:56.000Z,"I think iPhone XR, Xs and Xs Max will receive the update. Performance is almost identical to iPhone 11 though",2,0,7,0,2672
1bigg_roh,2025-04-01T16:34:11.000Z,how iPhone xr trying to hold iPhone SE back ,0,0,7,0,731
pkredits,2025-04-01T03:32:45.000Z,Don't think the batteries could've handled the update anyways good call imo,0,0,83,3,9622
yourtechguy100,2025-04-01T02:53:11.000Z,Don’t tell me it’s the discontinued of A12 chips so even 2020 iPad Pro is unsupported for iPadOS 19,9,3,69,0,32539
kaeprehgih,2025-04-01T12:22:14.000Z,Gotta respect Apple for how long they provide updates to older models,2,0,33,0,5495
dimov_vladyslav,2025-04-01T05:13:26.000Z,That's still quite a large list of devices. The iPhone 11 came out in 2019.,2,0,21,0,23159
singhalrishi27,2025-04-01T02:54:08.000Z,source?,4,0,22,0,33109
abasisgenius,2025-04-01T07:53:35.000Z,I’m pretty sure it was initially rumoured to support every iOS 18 compatible device. It’s a redesign update and probably every iOS 18 iPhone would be supported.,3,0,14,0,9559
Gazby77,2025-04-01T09:07:13.000Z,"I'll be surprised if the 11's get another year, they're already 6 years old.",2,0,8,0,20868
ty_uchiha_,2025-04-01T14:31:49.000Z,"All my iPhone 12 users, we’re getting closer to the day",0,0,8,0,3238
Mauricio9952,2025-04-01T02:23:56.000Z,"I think iPhone XR, Xs and Xs Max will receive the update. Performance is almost identical to iPhone 11 though",2,0,7,0,2672
1bigg_roh,2025-04-01T16:34:11.000Z,how iPhone xr trying to hold iPhone SE back ,0,0,7,0,731
TechyKaptan,2025-04-01T02:39:42.000Z,@Sankew06,0,0,5,0,6217
ckjlbb,2025-04-01T07:29:16.000Z,Time to upgrade my work XR then!,0,0,5,0,5581
Troycfc_,2025-04-01T12:59:20.000Z,guess it’s time to upgrade from my 13 then,0,0,5,0,2410
farinmyeyes,2025-04-01T01:47:48.000Z,Hasn’t 11 been dropped from ios18 tho?,3,0,4,0,5570
Sebz_1000,2025-04-01T07:05:16.000Z,How about they fix iOS 18 first…,2,0,4,0,610
IlannTrax,2025-04-01T08:10:38.000Z,Android 16 va encore une fois être bien meilleur,2,0,4,0,11989
canergok_0133,2025-04-01T13:13:39.000Z,This will be last update for my se 2 ,0,0,4,0,412
wontumii,2025-04-01T15:21:42.000Z,XR users,0,0,2,0,436
slymyax12,2025-04-01T03:17:57.000Z,Dang,2,0,3,0,5647
chrischatzi41,2025-04-01T16:17:33.000Z,Was the iPhone xsm and xr supported iOS 18? And they might stop supporting,0,0,3,0,5822
Sarthak_034,2025-04-02T13:39:23.000Z,I think this might be a change again' !! @iHateApplee,0,0,3,0,341
SaudTweet,2025-04-01T02:07:49.000Z,I don’t think it’s a good idea to support more than five-year-old iPhones with new software!,3,0,2,0,1860
skeng_man2131,2025-04-01T05:49:30.000Z,Sold my X on time,0,0,2,0,632
